# ORGANISATIONS,,,,,,,,,,,,,,,,,
user,password,contact_name,position,oficial_company_name,alias_name,company_head_office_address,company_phone_nr,owner_name,owner_phone_nr,email_address,www_address,country,,,,,
beautyadmin,Beauty123,Alice Admin,Director,Beauty Co_2,BeautyCo-test,Main St 1,44111222333,John Smith,44111222334,info@beautyco.com,www.beautyco.com,RO,,,,,
,,,,,,,,,,,,,,,,,
# WORKING POINTS,,,,,,,,,,,,,,,,,
name_of_the_place,description_of_the_place,address,landmark,directions,user,password,lead_person_name,lead_person_phone_nr,workplace_phone_nr,booking_phone_nr,booking_sms_number,email,country,language,currency,we_handling,specialist_relevance
Central Branch,Salon de infrumusetare,"Main St 1, City",langa centru comercial XX,cobori in stati de autobuz faci dreapt si urci scarile la nr 17,central_admin,Cpass123,Alice Manager,44111222335,44111222336,12345678910,,central@beautyco.com,RO,RO,RON,specialisti,
East Branch,Salon de manichura pedichiura,East Ave 42,la gara, chiar in incinta garii,east_admin,Epass456,Bob Supervisor,44111222337,44111222338,12345678910,,east@beautyco.com,RO,RO,EUR,specialisti,
,,,,,,,,,,,,,,,,,
# SPECIALISTS,,,,,,,,,,,,,,,,,
specialist_identif_nr,name,user,password,speciality,email,phone_nr,h_of_email_schedule,m_of_email_schedule,,,,,,,,,
1,Dana Zahareviciene,spec1,spec1,Hair Stylist,dana@beautyco.com,37062012395,8,0,,,,,,,,,
2,Anna Barber,spec2,spec2,Barber,anna@beautyco.com,37062012396,8,0,,,,,,,,,
3,Lina Gruode,spec3,spec3,Hair Stylist,lina@beautyco.com,37062012397,8,0,,,,,,,,,
4,Rasa Joy,spec4,spec4,Nail specialist,rasa@beautyco.com,37062012398,8,0,,,,,,,,,
5,Oksana Wind,spec5,spec5,Nail specialist,oksana@beautyco.com,37062012399,8,0,,,,,,,,,
6,Haanna Turin,spec6,spec6,Cosmetologist,hanna@beautyco.com,37062012390,8,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
# WORKING_PROGRAM,,,,,,,,,,,,,,,,,
specialist_identif_nr,workplace_name,day_of_week,shift1_start,shift1_end,shift2_start,shift2_end,shift3_start,shift3_end,,,,,,,,,
1,Central Branch,Monday,09:00,12:00,13:00,17:00,,,,,,,,,,,
1,Central Branch,Tuesday,8:00,12:00,,,,,,,,,,,,,
1,East Branch,Tuesday,13:00,18:00,,,,,,,,,,,,,
1,Central Branch,Wednesday,09:00,17:00,13:00,17:00,,,,,,,,,,,
1,Central Branch,Thursday,10:00,18:00,13:00,17:00,,,,,,,,,,,
1,Central Branch,Friday,09:00,17:00,13:00,17:00,,,,,,,,,,,
1,East Branch,Saturday,09:00,16:00,13:00,17:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2,Central Branch,Monday,07:00,10:00,12:00,14:00,14:30,17:00,,,,,,,,,
2,Central Branch,Tuesday,07:00,10:00,12:00,14:00,14:30,17:00,,,,,,,,,
2,Central Branch,Wednesday,07:00,10:00,12:00,14:00,14:30,17:00,,,,,,,,,
2,Central Branch,Thursday,10:00,18:00,,,,,,,,,,,,,
2,Central Branch,Friday,09:00,17:00,,,,,,,,,,,,,
2,Central Branch,Saturday,09:00,13:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3,East Branch,Monday,09:00,17:00,,,,,,,,,,,,,
3,East Branch,Tuesday,10:00,18:00,,,,,,,,,,,,,
3,East Branch,Wednesday,09:00,17:00,,,,,,,,,,,,,
3,East Branch,Thursday,10:00,18:00,,,,,,,,,,,,,
3,East Branch,Friday,09:00,17:00,,,,,,,,,,,,,
3,East Branch,Saturday,09:00,16:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4,Central Branch,Monday,09:00,17:00,,,,,,,,,,,,,
4,Central Branch,Tuesday,10:00,18:00,,,,,,,,,,,,,
4,Central Branch,Wednesday,09:00,17:00,,,,,,,,,,,,,
4,Central Branch,Thursday,10:00,18:00,,,,,,,,,,,,,
4,Central Branch,Friday,09:00,17:00,,,,,,,,,,,,,
4,Central Branch,Saturday,09:00,16:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5,Central Branch,Monday,09:00,17:00,,,,,,,,,,,,,
5,Central Branch,Tuesday,10:00,18:00,,,,,,,,,,,,,
5,Central Branch,Wednesday,09:00,17:00,,,,,,,,,,,,,
5,Central Branch,Thursday,10:00,18:00,,,,,,,,,,,,,
5,Central Branch,Friday,09:00,17:00,,,,,,,,,,,,,
5,Central Branch,Saturday,09:00,16:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6,East Branch,Monday,09:00,17:00,,,,,,,,,,,,,
6,East Branch,Tuesday,10:00,18:00,,,,,,,,,,,,,
6,East Branch,Wednesday,09:00,17:00,,,,,,,,,,,,,
6,East Branch,Thursday,10:00,18:00,,,,,,,,,,,,,
6,East Branch,Friday,09:00,17:00,,,,,,,,,,,,,
6,East Branch,Saturday,09:00,16:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#SERVICES,,,,,,,,,,,,,,,,,
name_of_service,minute,price_of_service,procent_vat,specialist_identif_nr,,,,,,,,,,,,,
Coafura femei,60,20,20.00%,"1,6",,,,,,,,,,,,,
Tunsoare barbati,30,20,20.00%,"2;4,5",,,,,,,,,,,,,
